6,412,52,23,70,191,51,68,111,29
25,3,41,632,0,310,6,1,180,13
1,2,729,28,5,5,18,5,12,3
416,0,17,28,1,61,33,1,4,0
2,3,3,8,326,45,0,636,25,451
22,1,21,173,8,244,11,3,554,15
26,0,32,11,30,20,799,3,18,1
1,1,32,29,490,45,16,287,29,463
461,0,1,2,1,6,12,1,4,7
0,704,66,56,28,14,33,53,42,32
